Name,ID_hex,ID_dec,Size_bytes,SizeType,Comment
VAR_FRICTION_WHEEL_SPEED,0x01,1,4,Fixed,Friction wheel speed (float32)
VAR_ARM_SHOT_TO_RESET,0x10,16,1,Fixed,
VAR_IMU_RESET,0x13,19,1,Fixed,
VAR_TEST_VAR_U8,0x1C,28,1,Fixed,Test u8 (echo+1)
VAR_ARM_RESET_TO_STORE,0x1F,31,1,Fixed,
VAR_BASE_MOVE_BACKWARD_FAST,0x21,33,1,Fixed,
VAR_BASE_MOVE_FORWARD_FAST_EX,0x29,41,1,Fixed,
VAR_ARM_RESET_TO_HIGH_PREPARE,0x2E,46,1,Fixed,
VAR_ARM_HIGH_GRIP_TO_SHOT,0x34,52,1,Fixed,
VAR_BASE_ROTATE_CW_FAST,0x36,54,1,Fixed,
VAR_ARM_STORE_TO_SHOT,0x37,55,1,Fixed,
VAR_FIRE_ONCE,0x41,65,1,Fixed,Fire once
VAR_ARM_RESET,0x4B,75,1,Fixed,
VAR_ARM_LOW_GRIP_TO_WAIT_SHOT,0x4C,76,1,Fixed,
VAR_ARM_LOW_PREPARE_TO_GRIP,0x53,83,1,Fixed,
VAR_BASE_MOVE_FORWARD_FAST,0x5B,91,1,Fixed,
VAR_BASE_ROTATE_CW_SLOW,0x5D,93,1,Fixed,
VAR_ARM_HIGH_PREPARE_TO_GRIP,0x65,101,1,Fixed,
VAR_IMU_YAW,0x67,103,4,Fixed,IMU yaw (float32)
VAR_ARM_RELAX,0x72,114,1,Fixed,
VAR_ARM_LOW_GRIP_TO_STORE,0x77,119,1,Fixed,
VAR_BASE_STOP,0x7B,123,1,Fixed,
VAR_BASE_ROTATE_CCW_FAST,0x83,131,1,Fixed,
VAR_TEST_VAR_F32,0x88,136,4,Fixed,Test float32 (echo+0.1)
VAR_BASE_MOVE_FORWARD_SLOW,0x8C,140,1,Fixed,
VAR_ERROR,0x93,147,1,Fixed,Error echo
VAR_BASE_ROTATE_CCW_SLOW,0x94,148,1,Fixed,
VAR_BASE_MOVE_BACKWARD_SLOW,0x99,153,1,Fixed,
VAR_BASE_MOVE_LEFT_SLOW,0x9A,154,1,Fixed,
VAR_OK,0x9D,157,1,Fixed,OK echo
VAR_ARM_HIGH_GRIP_TO_WAIT_SHOT,0x9E,158,1,Fixed,
VAR_BASE_MOVE_BACKWARD_FAST_EX,0x9F,159,1,Fixed,
VAR_GET_IMU_YAW,0xA3,163,1,Fixed,Request IMU yaw
VAR_GET_VOLTAGE,0xA4,164,1,Fixed,Request voltage
VAR_FRICTION_WHEEL_STOP,0xA6,166,1,Fixed,Stop friction wheel
VAR_ARM_WAIT_SHOT_TO_SHOT,0xAB,171,1,Fixed,
VAR_VOLTAGE,0xBB,187,4,Fixed,Voltage (float32)
VAR_ARM_HIGH_GRIP_TO_STORE,0xBD,189,1,Fixed,
VAR_BASE_MOVE_LEFT_FAST,0xC5,197,1,Fixed,
VAR_BASE_MOVE_RIGHT_SLOW,0xC9,201,1,Fixed,
VAR_BASE_MOVE_RIGHT_FAST,0xCA,202,1,Fixed,
VAR_DART_PUSH_ONCE,0xCD,205,1,Fixed,Dart push once
VAR_HEARTBEAT,0xD1,209,1,Fixed,Heartbeat
VAR_ARM_LOW_GRIP_TO_SHOT,0xD6,214,1,Fixed,
VAR_ARM_RESET_TO_LOW_PREPARE,0xD8,216,1,Fixed,
VAR_FRICTION_WHEEL_START,0xDE,222,1,Fixed,Start friction wheel
VAR_TURRET_ANGLE_YAW,0xE1,225,4,Fixed,Turret yaw (float32)
VAR_TEST_VAR_U16,0xE6,230,2,Fixed,Test u16 (echo+10)
VAR_ARM_STORE_TO_RESET,0xEB,235,1,Fixed,
VAR_UNKNOWN_0x00,0x00,0,,Variable,Reserved / unspecified
